"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"5984","3.730232932","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000025000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002400000000000000010000001c000000ffffffffffffffffffffffff"
"6082","3.755542423","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000025000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002500000000000000010000001c000000ffffffffffffffffffffffff"
"6101","3.781386275","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000026000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"6190","3.807867031","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000026000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"6197","3.809681857","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000026000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"6204","3.811258642","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000026000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"6231","3.817009890","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000026000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"6307","3.834630545","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000027000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002600000000000000010000001c000000ffffffffffffffffffffffff"
"6399","3.860444873","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000027000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002700000000000000010000001c000000ffffffffffffffffffffffff"
"6411","3.886504298","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000028000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002700000000000000010000001c000000ffffffffffffffffffffffff"
"6506","3.913220679","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000029000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002800000000000000010000001c000000ffffffffffffffffffffffff"
"6606","3.939016168","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000029000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"6718","3.966904833","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000002a000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002900000000000000010000001c000000ffffffffffffffffffffffff"
"6726","3.991267784","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000002a000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002900000000000000010000001c000000ffffffffffffffffffffffff"
"6815","4.017307969","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000002b000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002a00000000000000010000001c000000ffffffffffffffffffffffff"
"6909","4.044245291","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef02580002020001000000002b000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"7029","4.070391160","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000002c000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002b00000000000000010000001c000000ffffffffffffffffffffffff"
"7032","4.070757167","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000002c000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002b00000000000000010000001c000000ffffffffffffffffffffffff"
"7097","4.124027787","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef02580002020001000000002d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"7209","4.153973330","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef02580002020001000000002d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
