"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"27670","9.915040297","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000ad000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"27951","9.982499221","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000ae000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008401000000000000010000001c000000ffffffffffffffffffffffff"
"27952","9.982503436","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000ae000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008401000000000000010000001c000000ffffffffffffffffffffffff"
"27953","9.982506447","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000af000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008401000000000000010000001c000000ffffffffffffffffffffffff"
"28017","10.006982531","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000af000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"28019","10.032458074","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b0000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008501000000000000000000001c000000ffffffffffffff07f0ffffff"
"28292","10.102418324","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b0000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008501000000000000010000001c000000ffffffffffffffffffffffff"
"28293","10.102418960","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b1000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008501000000000000010000001c000000ffffffffffffffffffffffff"
"28341","10.129264437","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b1000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008501000000000000010000001c000000ffffffffffffffffffffffff"
"28343","10.141623507","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000b2000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"28588","10.207049080","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000b2000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"28591","10.207109686","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b3000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008601000000000000010000001c000000ffffffffffffffffffffffff"
"28679","10.229448752","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b3000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008601000000000000010000001c000000ffffffffffffffffffffffff"
"28681","10.238012269","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000b4000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"28728","10.278200828","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b4000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008701000000000000000000001c000000ffffffff7f000000e0ffffff"
"28737","10.279724965","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b4000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008701000000000000000000001c000000ffffffff7f000000e0ffffff"
"28786","10.291532987","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000b5000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"29068","10.350927654","192.168.169.4","192.168.169.1","UDP","214","41962  >  8800 Len=88","ef0258000202000100000000b5000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"29069","10.350928285","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b6000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008701000000000000010000001c000000ffffffffffffffffffffffff"
"29071","10.366154560","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b6000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008701000000000000010000001c000000ffffffffffffffffffffffff"
"29072","10.367115721","192.168.169.4","192.168.169.1","UDP","242","41962  >  8800 Len=116","ef0274000202000101000000b6000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00008701000000000000010000001c000000ffffffffffffffffffffffff"
