"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"2930","36.408651514","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000c00000000000000000000001c000000ffff03000000000000e0ffff"
"2932","36.424626980","192.168.169.2","192.168.169.1","UDP","270","57664  >  8800 Len=144","ef02900002020001020000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000b00000000000000010000001c000000ffffffffffffffffffffffff0c00000000000000000000001c000000ffff03000000000000e0ffff"
"3092","36.465349186","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3175","36.484820899","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000c00000000000000010000001c000000ffffffffffffffffffffffff"
"3247","36.523319420","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3251","36.539367581","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000d00000000000000010000001c000000ffffffffffffffffffffffff"
"3433","36.583463387","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3434","36.583464168","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3524","36.606341490","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3525","36.606342145","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3526","36.606342699","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000e00000000000000010000001c000000ffffffffffffffffffffffff"
"3567","36.631076290","192.168.169.2","192.168.169.1","UDP","270","57664  >  8800 Len=144","ef02900002020001020000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000e00000000000000010000001c000000ffffffffffffffffffffffff0f00000000000000010000001c000000ffffffffffffffffffffffff"
"3569","36.657040532","192.168.169.2","192.168.169.1","UDP","298","57664  >  8800 Len=172","ef02ac0002020001030000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00000e00000000000000010000001c000000ffffffffffffffffffffffff0f00000000000000010000001c000000ffffffffffffffffffffffff1000000000000000000000001c000000ff0600000000000000e0ffff"
"3712","36.691454130","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3768","36.707268305","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001000000000000000010000001c000000ffffffffffffffffffffffff"
"3877","36.736787996","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"3883","36.759223206","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001100000000000000010000001c000000ffffffffffffffffffffffff"
"3942","36.790397679","192.168.169.2","192.168.169.1","UDP","270","57664  >  8800 Len=144","ef02900002020001020000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001100000000000000010000001c000000ffffffffffffffffffffffff1200000000000000000000001c000000030000000000000000f0ffff"
"3952","36.792326778","192.168.169.2","192.168.169.1","UDP","270","57664  >  8800 Len=144","ef02900002020001020000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001100000000000000010000001c000000ffffffffffffffffffffffff1200000000000000000000001c000000030000000000000000f0ffff"
"4115","36.837046051","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4117","36.837058680","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001200000000000000010000001c000000ffffffffffffffffffffffff"
"4207","36.873450894","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4350","36.922097123","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001300000000000000010000001c000000ffffffffffffffffffffffff"
"4351","36.922097811","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001300000000000000010000001c000000ffffffffffffffffffffffff"
"4354","36.922714611","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001300000000000000010000001c000000ffffffffffffffffffffffff"
"4355","36.922715231","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001300000000000000010000001c000000ffffffffffffffffffffffff"
"4363","36.926457060","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001300000000000000010000001c000000ffffffffffffffffffffffff"
"4436","36.946002677","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001400000000000000010000001c000000ffffffffffffffffffffffff"
"4443","36.947317497","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001400000000000000010000001c000000ffffffffffffffffffffffff"
"4528","36.968981041","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4539","36.994390540","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001500000000000000010000001c000000ffffffffffffffffffffffff"
"4704","37.039006242","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4710","37.053169753","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4712","37.066372897","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4713","37.066571959","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4846","37.097999621","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001600000000000000010000001c000000ffffffffffffffffffffffff"
"4940","37.130728960","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4985","37.143247162","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"5009","37.149328929","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001700000000000000010000001c000000ffffffffffffffffffffffff"
"5013","37.177415304","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001700000000000000010000001c000000ffffffffffffffffffffffff"
"5218","37.233014072","192.168.169.2","192.168.169.1","UDP","214","57664  >  8800 Len=88","ef02580002020001000000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"5219","37.233024477","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001800000000000000010000001c000000ffffffffffffffffffffffff"
"5326","37.277180563","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001900000000000000010000001c000000ffffffffffffffffffffffff"
"5327","37.277184063","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001900000000000000010000001c000000ffffffffffffffffffffffff"
"5442","37.321501063","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001900000000000000010000001c000000ffffffffffffffffffffffff"
"5522","37.342704725","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001a00000000000000010000001c000000ffffffffffffffffffffffff"
"5530","37.348249944","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001a00000000000000010000001c000000ffffffffffffffffffffffff"
"5616","37.371744093","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001a00000000000000010000001c000000ffffffffffffffffffffffff"
"5618","37.386838342","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001b00000000000000010000001c000000ffffffffffffffffffffffff"
"5730","37.422727917","192.168.169.2","192.168.169.1","UDP","270","57664  >  8800 Len=144","ef02900002020001020000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001b00000000000000010000001c000000ffffffffffffffffffffffff1c00000000000000000000001c000000ffffffffff1f000000f0ffff"
"5902","37.467262203","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5903","37.467266061","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5910","37.468599691","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5911","37.468609658","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5918","37.469673529","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5919","37.469683630","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5921","37.469814120","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5931","37.476717167","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"5932","37.476721698","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001c00000000000000010000001c000000ffffffffffffffffffffffff"
"6081","37.530237303","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001d00000000000000010000001c000000ffffffffffffffffffffffff"
"6082","37.530242874","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001d00000000000000010000001c000000ffffffffffffffffffffffff"
"6238","37.571630744","192.168.169.2","192.168.169.1","UDP","242","57664  >  8800 Len=116","ef02740002020001010000000b000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001e00000000000000010000001c000000ffffffffffffffffffffffff"
